"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2025 18:30:00 - 02/01/2025 18:45:00","BZN|FR","Without Sequence","153.15","",""
"02/01/2025 18:45:00 - 02/01/2025 19:00:00","BZN|FR","Without Sequence","153.15","",""
"02/01/2025 19:00:00 - 02/01/2025 19:15:00","BZN|FR","Without Sequence","146.66","",""
"02/01/2025 19:15:00 - 02/01/2025 19:30:00","BZN|FR","Without Sequence","146.66","",""
"02/01/2025 19:30:00 - 02/01/2025 19:45:00","BZN|FR","Without Sequence","146.66","",""
"02/01/2025 19:45:00 - 02/01/2025 20:00:00","BZN|FR","Without Sequence","146.66","",""
"02/01/2025 20:00:00 - 02/01/2025 20:15:00","BZN|FR","Without Sequence","130.60","",""
"02/01/2025 20:15:00 - 02/01/2025 20:30:00","BZN|FR","Without Sequence","130.60","",""
"02/01/2025 20:30:00 - 02/01/2025 20:45:00","BZN|FR","Without Sequence","130.60","",""
"02/01/2025 20:45:00 - 02/01/2025 21:00:00","BZN|FR","Without Sequence","130.60","",""
"02/01/2025 21:00:00 - 02/01/2025 21:15:00","BZN|FR","Without Sequence","120.62","",""
"02/01/2025 21:15:00 - 02/01/2025 21:30:00","BZN|FR","Without Sequence","120.62","",""
"02/01/2025 21:30:00 - 02/01/2025 21:45:00","BZN|FR","Without Sequence","120.62","",""
"02/01/2025 21:45:00 - 02/01/2025 22:00:00","BZN|FR","Without Sequence","120.62","",""
"02/01/2025 22:00:00 - 02/01/2025 22:15:00","BZN|FR","Without Sequence","117.89","",""
"02/01/2025 22:15:00 - 02/01/2025 22:30:00","BZN|FR","Without Sequence","117.89","",""
"02/01/2025 22:30:00 - 02/01/2025 22:45:00","BZN|FR","Without Sequence","117.89","",""
"02/01/2025 22:45:00 - 02/01/2025 23:00:00","BZN|FR","Without Sequence","117.89","",""
"02/01/2025 23:00:00 - 02/01/2025 23:15:00","BZN|FR","Without Sequence","118.56","",""
"02/01/2025 23:15:00 - 02/01/2025 23:30:00","BZN|FR","Without Sequence","118.56","",""
"02/01/2025 23:30:00 - 02/01/2025 23:45:00","BZN|FR","Without Sequence","118.56","",""
"02/01/2025 23:45:00 - 03/01/2025 00:00:00","BZN|FR","Without Sequence","118.56","",""
"03/01/2025 00:00:00 - 03/01/2025 00:15:00","BZN|FR","Without Sequence","103.88","",""
"03/01/2025 00:15:00 - 03/01/2025 00:30:00","BZN|FR","Without Sequence","103.88","",""
"03/01/2025 00:30:00 - 03/01/2025 00:45:00","BZN|FR","Without Sequence","103.88","",""
"03/01/2025 00:45:00 - 03/01/2025 01:00:00","BZN|FR","Without Sequence","103.88","",""
"03/01/2025 01:00:00 - 03/01/2025 01:15:00","BZN|FR","Without Sequence","95.18","",""
"03/01/2025 01:15:00 - 03/01/2025 01:30:00","BZN|FR","Without Sequence","95.18","",""
"03/01/2025 01:30:00 - 03/01/2025 01:45:00","BZN|FR","Without Sequence","95.18","",""
"03/01/2025 01:45:00 - 03/01/2025 02:00:00","BZN|FR","Without Sequence","95.18","",""
"03/01/2025 02:00:00 - 03/01/2025 02:15:00","BZN|FR","Without Sequence","89.94","",""
"03/01/2025 02:15:00 - 03/01/2025 02:30:00","BZN|FR","Without Sequence","89.94","",""
"03/01/2025 02:30:00 - 03/01/2025 02:45:00","BZN|FR","Without Sequence","89.94","",""
"03/01/2025 02:45:00 - 03/01/2025 03:00:00","BZN|FR","Without Sequence","89.94","",""
"03/01/2025 03:00:00 - 03/01/2025 03:15:00","BZN|FR","Without Sequence","87.67","",""
"03/01/2025 03:15:00 - 03/01/2025 03:30:00","BZN|FR","Without Sequence","87.67","",""
"03/01/2025 03:30:00 - 03/01/2025 03:45:00","BZN|FR","Without Sequence","87.67","",""
"03/01/2025 03:45:00 - 03/01/2025 04:00:00","BZN|FR","Without Sequence","87.67","",""
"03/01/2025 04:00:00 - 03/01/2025 04:15:00","BZN|FR","Without Sequence","84.06","",""
"03/01/2025 04:15:00 - 03/01/2025 04:30:00","BZN|FR","Without Sequence","84.06","",""
"03/01/2025 04:30:00 - 03/01/2025 04:45:00","BZN|FR","Without Sequence","84.06","",""
"03/01/2025 04:45:00 - 03/01/2025 05:00:00","BZN|FR","Without Sequence","84.06","",""
"03/01/2025 05:00:00 - 03/01/2025 05:15:00","BZN|FR","Without Sequence","92.25","",""
"03/01/2025 05:15:00 - 03/01/2025 05:30:00","BZN|FR","Without Sequence","92.25","",""
"03/01/2025 05:30:00 - 03/01/2025 05:45:00","BZN|FR","Without Sequence","92.25","",""
